Time (ns),RMSD (Å)
0,1.707018
1,2.036927
2,2.116953
3,2.143436
4,2.445739
5,2.4395320000000003
6,2.5927710000000004
7,2.7231970000000003
8,2.5663810000000002
9,2.602479
10,2.463026
11,2.2405850000000003
12,2.241087
13,2.452947
14,2.338115
15,2.539768
16,2.368515
17,2.469207
18,2.270193
19,2.389124
20,2.367933
21,2.378595
22,2.344231
23,2.339638
24,2.41193
25,2.339522
26,2.445967
27,2.3385540000000002
28,2.522796
29,2.306592
30,2.355048
31,2.39959
32,2.333266
33,2.371862
34,2.383498
35,2.3545420000000004
36,2.4561830000000002
37,2.3964920000000003
38,2.478999
39,2.570656
40,2.683218
41,2.752717
42,2.861701
43,2.846712
44,2.7835550000000002
45,2.928689
46,2.932108
47,3.043835
48,3.049246
49,2.98433
50,3.16255
51,3.2893869999999996
52,3.308185
53,3.242679
54,2.886331
55,3.021005
56,2.9541649999999997
57,2.815204
58,2.7122179999999996
59,2.807575
60,3.2119099999999996
61,3.5450720000000002
62,3.517955
63,3.6104770000000004
64,3.4374489999999995
65,3.720657
66,3.1791199999999997
67,3.001563
68,3.098957
69,3.436659
70,3.36605
71,3.420845
72,3.5501400000000003
73,3.6983210000000004
74,3.5011509999999997
75,3.34984
76,2.854617
77,2.7181830000000002
78,2.657367
79,2.744332
80,2.682781
81,2.6769580000000004
82,2.607902
83,2.491661
84,2.298266
85,2.543219
86,2.766742
87,3.1049599999999997
88,3.0144580000000003
89,3.207931
90,3.078861
91,3.1875240000000002
92,3.091427
93,3.083941
94,3.057599
95,3.0246519999999997
96,3.042389
97,3.462912
98,3.45288
99,3.3420330000000003
100,3.308415
101,3.19481
102,3.189547
103,3.120699
104,3.3388240000000002
105,3.2618270000000003
106,3.290691
107,3.141279
108,3.346893
109,3.227947
110,2.977354
111,3.1243849999999997
112,3.095222
113,3.086798
114,3.204796
115,3.6141710000000002
116,3.279699
117,3.259764
118,3.117095
119,2.920938
120,3.237975
121,3.42212
122,4.084234
123,3.9691430000000003
124,3.707636
125,4.111936
126,3.9975349999999996
127,3.596078
128,3.609201
129,3.557552
130,3.442183
131,3.39351
132,3.15496
133,3.2697160000000003
134,3.4408640000000004
135,3.39058
136,3.787153
137,3.6008519999999997
138,3.552375
139,3.472425
140,3.2901870000000004
141,2.854815
142,2.9500490000000004
143,2.959422
144,3.2556979999999998
145,3.5925529999999997
146,3.9039330000000003
147,4.111776
148,3.822026
149,3.7514890000000003
150,3.849511
151,4.071133
152,3.966106
153,3.85664
