Time (ns),RMSD (Å)
0,0.9930516666666666
1,1.6095484444444446
2,1.6294397272727275
3,1.614641
4,1.9675254545454544
5,2.3274864444444443
6,2.4083582
7,2.1737124999999997
8,2.0664414545454544
9,2.1942673333333333
10,2.3763606
11,2.1673801
12,2.208892
13,1.9946464
14,1.9967873999999999
15,1.8466747000000001
16,2.0135303636363635
17,2.1133403333333334
18,1.9191751818181821
19,2.011542111111111
20,2.0807466999999997
21,2.0762159000000002
22,2.1717708
23,2.2294669
24,2.3118164
25,2.3393429
26,2.3620215
27,2.5913307
28,2.4765249999999996
29,2.4451111
30,2.2697024
31,2.3778343
32,2.7527574545454545
33,3.0321962222222223
34,3.1865464545454545
35,2.887137555555556
36,3.2313385454545456
37,3.179033888888889
38,3.3834044545454547
39,3.533970111111111
40,3.4973464
41,3.1407668
42,3.0316262
43,3.1996935
44,3.2797886
45,3.264238
46,3.2024231999999997
47,3.1223817
48,3.4676603
49,3.3815337
50,3.6017913
51,3.4515779
52,3.3422313000000003
53,3.6241306
54,3.5876150000000004
55,3.7429492000000004
56,3.6955140999999996
57,3.5490131
58,3.4570855000000003
59,3.4396608
60,3.4352791000000003
61,3.3788232000000002
62,3.3305258
63,3.2828060999999997
64,3.2675991818181815
65,3.3889311111111113
66,3.347452727272727
67,3.1214082222222226
68,3.226582727272727
69,3.252930555555556
70,3.2689919090909085
71,3.499715777777778
72,3.545358545454546
73,3.532228222222222
74,3.485842090909091
75,3.4669075555555557
76,3.369658454545454
77,3.357111777777778
78,3.2747654545454536
79,2.9666437777777777
80,2.9332842
81,2.9301409
82,2.9893203
83,3.2600326
84,3.4334364
85,3.3691164000000002
86,3.4466650999999997
87,3.4869472999999997
88,3.5013215000000004
89,3.557538
90,3.5983873
91,3.7238129
92,3.7264094
93,3.8336258
94,3.6414044
95,3.6103864000000003
96,3.6904345
97,3.7832293999999997
98,3.885814
99,3.6587614000000004
100,3.848905
101,3.8092788
102,3.4609925000000006
103,3.3585753000000005
104,3.2973945000000002
105,3.2042714000000005
106,3.2937336000000004
107,3.3668138999999995
108,3.3886260999999998
109,3.1873696000000002
110,3.5657240000000003
111,3.5707247000000004
112,3.9971543000000005
113,3.8696911999999997
114,3.7604287
115,3.7669021999999996
116,3.8812331
117,3.8282165
118,3.8626531
119,3.8308366
120,3.8600065
121,3.7040203
122,3.952065
123,3.8711326999999995
124,3.8062854
125,3.9405270000000003
126,3.7440143
127,3.6258329000000002
128,3.6111810000000006
129,3.4938115555555553
130,3.684883454545455
131,3.539544444444444
132,3.0672563636363637
133,3.4120463333333335
134,3.5732762727272727
135,3.3827382222222218
136,3.5740742727272723
137,3.4911792222222227
138,3.149584
139,3.2996193333333332
140,3.2370990909090906
141,3.122468111111111
142,3.126495909090909
143,3.144971777777778
144,3.151928181818182
145,3.147004888888889
146,3.1234428181818186
147,3.0961746666666667
148,2.9992080909090912
149,3.052461666666667
150,3.131175272727273
151,3.195615666666667
152,3.2762438181818183
153,3.5208712222222216
154,3.5331404545454546
155,3.3657495555555554
156,3.1423296363636366
157,3.169648333333333
158,3.3749078181818186
159,3.4010203333333338
160,3.7689266363636365
161,3.7143810000000004
162,3.6025652
163,3.4239604
164,3.6124889
165,3.6881417
166,3.5061666000000002
167,3.3687483
168,3.5055085
169,3.2814476999999997
170,3.3360062999999998
171,3.6912917
172,3.4694541
173,3.4400909
174,3.4784126
175,3.2077723
176,3.2638345
177,3.1927792999999998
178,3.1277014000000003
179,3.143277
180,2.9832044
181,3.1846722
182,3.2964796
183,3.3402957
184,3.2314178999999994
185,3.1037116
186,3.2180291000000003
187,3.1059843999999996
188,3.0723941
189,2.9888646000000003
190,3.0265305
191,3.2653361
192,3.2136530999999997
193,3.4554079
194,3.4414033
195,3.4502198
196,3.3090847000000005
197,3.5376006
198,3.6038196
199,3.3699769
200,3.5381101999999998
201,3.5580112999999995
202,3.7722395
203,3.6191906000000005
204,3.6887119999999998
205,3.5532846
206,3.4477908999999998
207,3.4966115
208,3.3410040000000003
209,3.3633999
210,3.2969354
211,3.1367832
212,3.0678525
213,3.0202656
214,3.1386261
215,3.3266872999999997
216,2.90943
217,2.8423784
218,2.9956956
219,2.8842807
220,2.8237569000000002
221,2.8077375
222,3.012341
223,2.9986824000000003
224,3.0118020000000003
225,3.0751004
226,3.0507858
227,3.085762
228,3.0778722000000003
229,3.4214128
230,3.1690525000000003
231,3.0076206
232,2.9030364
233,2.9338729
234,2.946142
235,2.6962588
236,2.5770277
237,2.8787313
238,2.8396523
239,2.746274
240,2.7676306
241,2.6333154
242,2.7956184
243,3.0159933000000003
244,3.2062740000000005
245,2.9469279999999998
